"Name","Symbol","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"iShares Russell 2000 ETF","IWM","NYSE","203.99","-","-","204.00","--","203.92","204.82","205.16","203.28","-0.83","-0.41%","27,861,181","--","16:00:00","67,790,000,000","947,020,000","40,572,658","13.98","13.26","1.16","2.9356","1.43%","Strong Buy","Neutral","Neutral","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy","-0.41%","2.19%","13.97%","16.99%","16.67%","4.92%"
"Fastenal Company","FAST.TG","TG","58.76","58.47","58.76","--","--","59.00","58.87","59.00","58.44","-0.11","-0.19%","779","Jan 18, 2024","13:11:43","33,500,000,000","","444","-","32.61","-","-","-","Buy","Neutral","Neutral","Neutral","Sell","Strong Buy","Strong Buy","Strong Buy","-0.19%","-0.59%","8.07%","32.30%","31.73%","45.95%"
"Fastenal Company","FAST.O","NASDAQ","64.84","-","-","64.94","0.15%","65.39","65.34","65.39","64.80","-0.50","-0.77%","2,099,241","Jan 18, 2024","","37,060,000,000","7,280,000,000","3,520,651","1.99","32.61","1.11","1.52","2.33%","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy","Strong Buy","-0.77%","-0.38%","8.72%","37.02%","36.33%","30.41%"
"PepsiCo Inc BDR","PEPB34.SA","BVMF","54.65","54.44","54.89","--","--","55.54","54.45","55.54","54.50","+0.20","+0.37%","7,233","Feb 09, 2024","16:33:03","1.14T","91,620,000,000","6,751","6.02","28.12","0.567","1.0854","1.99%","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Sell","Strong Sell","Sell","0.37%","0.61%","0.39%","-15.53%","-15.53%","12.18%"
"FTC/USD - Feathercoin US Dollar","FTC/USD - Feathercoin US Dollar","Synthetic","0.000848","0.000848","0.000848","--","--","0.000867","0.000867","0.001309","0.000846","-0.000019","-2.16%","-","--","16:55:24","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","-2.00%","-3.17%","-10.21%","-79.05%","-78.29%","-93.39%"
"BTC/XAU - Bitcoin Gold Spot","BTC/XAU - Bitcoin Gold Spot","Synthetic","20.5242","20.5242","20.5242","--","--","20.8637","20.8637","21.0400","20.3825","-0.3395","-1.63%","-","--","16:55:16","-","","-","-","-","-","-","-","Strong Buy","Strong Buy","Neutral","Sell","Strong Sell","Sell","Strong Buy","Strong Buy","-1.68%","-3.99%","10.82%","126.25%","123.78%","40.71%"
"Cardano","ADA/USD","Investing.com","0.6148","-","-","--","--","0.6393","0.6393","0.6760","0.6101","-0.0245","-3.83%","388,266,634","--","16:55:46","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Neutral","Buy","Strong Buy","Strong Buy","-3.35%","-2.77%","61.87%","151.53%","153.28%","223.46%"
"First Republic Bank","FRCB.PK","OTC","0.04","-","-","0.04","-12.50%","0.03","0.03","0.04","0.03","0.01","29.15%","2,130,417","Jan 12, 2024","15:59:00","5,600,000","5,570,000,000","771,618","7.53","0.01","1.64","1.08","3,985.24%","Strong Sell","Neutral","Strong Sell","Neutral","Strong Sell","Sell","Strong Sell","Strong Sell","29.15%","-33.33%","100.00%","-99.97%","-99.97%","-99.97%"
"S&P 500 Futures","ESH24","CME","4,834.00","4,833.75","4,834.00","--","--","4,834.50","4,833.50","4,841.50","4,828.00","+0.50","+0.01%","847,410","--","16:46:05","-","","-","-","-","-","-","-","Strong Sell","Strong Sell","Sell","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.01%","0.78%","6.03%","25.20%","24.85%","29.95%"
"Scisparc Ltd","SPRC.O","NASDAQ","4.900000","4.760000","4.940000","4.940000","0.816324%","4.850000","4.740000","4.999900","4.709900","+0.160000","+3.38%","60,286","--","16:00:00","2,480,000","3,320,000","2,029,241","1.01","5.43","1.40","-","-","Neutral","Strong Buy","Strong Buy","Buy","Sell","Strong Sell","Strong Sell","Strong Sell","3.38%","1.45%","-47.93%","-75.05%","-74.22%","-"
