Category,Old Attribute,New Attribute
Aqueduct,kube_cluster,k8s.cluster.name
Aqueduct,kube_app,k8s.app.name
Aqueduct,kube_pod_namespace,k8s.pod.namespace
Aqueduct,kube_pod,k8s.pod.name
Aqueduct,kube_pod_ip,k8s.pod.ip
Aqueduct,current_ref,aqueduct.ref
Aqueduct,cluster,aqueduct.cluster.name
Aqueduct Bridge,current_ref,aqueduct-bridge.ref
Pull Requests,pull,gh.pull_request.id
Pull Requests,pull_valid,gh.pull_request.valid
Pull Requests,pull_saved,gh.pull_request.saved
Pull Requests,pull_errors,gh.pull_request.errors
Pull Requests,issue_valid,gh.issue.valid
Pull Requests,issue_saved,gh.issue.saved
Pull Requests,issue_errors,gh.issue.errors
Viewscreen,action,gh.viewscreen.action
Viewscreen,format,gh.viewscreen.format
gitcoin/billing,business_id,gh.business.id
gitcoin/billing,failed_event,code.namespace
gitcoin/billing,job,gh.job.name
gitcoin/billing,customer_id,gh.customer.id
gitcoin/billing,product,gh.product.name
gitcoin/billing,legacy,gh.billing.legacy.status
gitcoin/billing,purpose,gh.billing.synchronization.purpose
gitcoin/billing,user_id,gh.user.id
gitcoin/billing,plan_name,gh.plan.name
gitcoin/billing,attempts_per_exception,gh.job.attempt.count
gitcoin/billing,account_id,gh.billing.zuora_account.id
gitcoin/billing,owner_id,gh.user.id
gitcoin/billing,asset_status_id,gh.asset_status.id
gitcoin/billing,user,gh.user.id
gitcoin/billing,billing_transaction_id,gh.billing.transaction.id
gitcoin/billing,twirp_error_code,http.status.code
gitcoin/billing,name,http.method
gitcoin/billing,user,gh.target.id
gitcoin/billing,business,gh.business.id
gitcoin/billing,results,gh.billing.plan_subscription.synchronization.results
gitcoin/billing,zuora_account_id,gh.billing.zuora_account.id
gitcoin/billing,message,gh.billing.result.error_message
gitcoin/billing,message,gh.billing.zuora.result.error_message
gitcoin/billing,name,code.function
gitcoin/billing,stripe_transfer_id,gh.billing.stripe_transfer.id
gitcoin/billing,account_id,gh.account.id
gitcoin/billing,account_type,gh.account.type
gitcoin/billing,subscription_item_id,gh.billing.subscription_item.id
gitcoin/billing,target ,gh.target.id
gitcoin/billing,processor,code.namespace
gitcoin/billing,zuora_invoice_id,gh.billing.zuora_invoice.id
gitcoin/billing,zuora_error_result,gh.billing.zuora.result
gitcoin/billing,invoice_id,gh.billing.zuora.invoice.id
