Plugin,Metric
cpu,{{ HOSTNAME }}.cpu.percent-idle
cpu,{{ HOSTNAME }}.cpu.percent-interrupt
cpu,{{ HOSTNAME }}.cpu.percent-nice
cpu,{{ HOSTNAME }}.cpu.percent-softirq
cpu,{{ HOSTNAME }}.cpu.percent-steal
cpu,{{ HOSTNAME }}.cpu.percent-system
cpu,{{ HOSTNAME }}.cpu.percent-user
cpu,{{ HOSTNAME }}.cpu.percent-wait
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-Critical
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-Degraded
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-Healthy
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-PlacerEvaluation-Catastrophic
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-PlacerEvaluation-Critical
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-PlacerEvaluation-Grave
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-PlacerEvaluation-Info
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-PlacerEvaluation-Notice
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-PlacerEvaluation-Serious
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-PlacerEvaluation-Warning
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Gist-Reweighted
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-Critical
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-Degraded
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-Healthy
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-PlacerEvaluation-Catastrophic
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-PlacerEvaluation-Critical
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-PlacerEvaluation-Grave
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-PlacerEvaluation-Info
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-PlacerEvaluation-Notice
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-PlacerEvaluation-Serious
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-PlacerEvaluation-Warning
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Entity-Network-Reweighted
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Fleet-Online
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Fleet-Unavailable
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Replica-Gist-Global-Creating
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Replica-Gist-Global-Destroying
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Replica-Gist-Global-Dormant
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Replica-Gist-Global-Failed
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Replica-Gist-Global-Repairing
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Replica-Network-Global-Creating
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Replica-Network-Global-Destroying
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Replica-Network-Global-Dormant
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Replica-Network-Global-Failed
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-Replica-Network-Global-Repairing
curl_json,{{ HOSTNAME }}.curl_json-spokes-sweeper.gauge-spokes-ReportLock
df,{{ HOSTNAME }}.df-data-user.df_complex-free
df,{{ HOSTNAME }}.df-data-user.df_complex-reserved
df,{{ HOSTNAME }}.df-data-user.df_complex-used
df,{{ HOSTNAME }}.df-dev-shm.df_complex-free
df,{{ HOSTNAME }}.df-dev-shm.df_complex-reserved
df,{{ HOSTNAME }}.df-dev-shm.df_complex-used
df,{{ HOSTNAME }}.df-dev.df_complex-free
df,{{ HOSTNAME }}.df-dev.df_complex-reserved
df,{{ HOSTNAME }}.df-dev.df_complex-used
df,{{ HOSTNAME }}.df-root.df_complex-free
df,{{ HOSTNAME }}.df-root.df_complex-reserved
df,{{ HOSTNAME }}.df-root.df_complex-used
df,{{ HOSTNAME }}.df-run-lock.df_complex-free
df,{{ HOSTNAME }}.df-run-lock.df_complex-reserved
df,{{ HOSTNAME }}.df-run-lock.df_complex-used
df,{{ HOSTNAME }}.df-run-user-501.df_complex-free
df,{{ HOSTNAME }}.df-run-user-501.df_complex-reserved
df,{{ HOSTNAME }}.df-run-user-501.df_complex-used
df,{{ HOSTNAME }}.df-run.df_complex-free
df,{{ HOSTNAME }}.df-run.df_complex-reserved
df,{{ HOSTNAME }}.df-run.df_complex-used
df,{{ HOSTNAME }}.df-sys-fs-cgroup.df_complex-free
df,{{ HOSTNAME }}.df-sys-fs-cgroup.df_complex-reserved
df,{{ HOSTNAME }}.df-sys-fs-cgroup.df_complex-used
disk,{{ HOSTNAME }}.disk-{{ DISK_NAME }}.disk_io_time
disk,{{ HOSTNAME }}.disk-{{ DISK_NAME }}.disk_octets
disk,{{ HOSTNAME }}.disk-{{ DISK_NAME }}.disk_ops
