;example_id;matching_part_of_suggestion;number_of_tokens_in_matching_part_of_suggestion;number_of_matches;link_to_example_match;number_of_lines_of_context
1;efa667297f49ca5065e12e0a9743445e00ebd1c2;"x, y, u, v = 0, 1, 1, 0
    while a != 0:
        q, r = b // a, b % a
        m, n = x - u * q, y - v * q
        b, a, x, y, u, v = a, r, u, v, m, n";71;2;https://github.com/remifuhriman/numerical_computing/blob/master/Labs/RSA/solutions.py;2
2;c101dc6dd83eca9260fbfc0369979a7965240df4;\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\;97;1;https://github.com/lucamassarelli/AMFC-BRCT/blob/master/core/MetricsCollector.py;>7
3;c101dc6dd83eca9260fbfc0369979a7965240df4;\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+;99;1;https://github.com/lucamassarelli/AMFC-BRCT/blob/master/core/MetricsCollector.py;>7
4;c101dc6dd83eca9260fbfc0369979a7965240df4;\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\d+\s+\;100;1;https://github.com/lucamassarelli/AMFC-BRCT/blob/master/core/MetricsCollector.py;>7
5;7f55777d22c616ae337c2f440e38ddb311907824;\s+([0-9.]+)\s+([0-9.]+)\s+([0-9.]+)\s+([0-9.]+)\s+([0-9.]+)\s+([0-9.]+)\s+([0-9.]+)\s+([0-9.]+)',;98;1;https://github.com/dvdylus/treeCl/blob/master/bin/fast_run_raxml.py;>7
6;5d7d7b9e5d18d271ba8065b57b63c11aa62650e4;")       
    def forward(self, x):       
        x = self.pool(F.relu(self.conv1(x)))       
        x = self.pool(F.relu(self.conv2(x)))       
        x = x.view(-1, 16 * 5 * 5)       
        x = F.relu(self.fc1(x))       
        x =";75;6;https://github.com/strongio/cerbero/blob/master/examples/cifar10_example/cifar10_multitask.py;4
7;5d7d7b9e5d18d271ba8065b57b63c11aa62650e4;")       
    def forward(self, x):       
        x = self.pool(F.relu(self.conv1(x)))       
        x = self.pool(F.relu(self.conv2(x)))       
        x = x.view(-1, 16 * 5 * 5)       
        x = F.relu(self.fc1(x))       
        x =";75;6;https://github.com/strongio/cerbero/blob/master/examples/cifar10_example/cifar10_multitask.py;4
8;8fe8dc24f5255aaa660568e64cf3489b795ed621;")
    stock_data = []
    split_source = source_code.split('\n')
    for line in split_source:
        split_line = line.split(',')
        if len(split_line) == 6:
            if 'values' not in line and 'labels' not in line:
                stock_data.append(line)";61;2;https://github.com/DIS17JTH/displayPiProject/blob/master/data_from_internet.py;>7
9;f72768d35a1bfee78c27a8c920ca4a80b27f719b;of the following questions (which you may assume is evaluated independently of the previous questions, so that testList has the value indicated above), provide an expression using applyToEach, so that after evaluation testList has the indicated value. You may need to write a simple procedure in each question to help with this process.;60;1;https://github.com/kd-nguyen/guttag/blob/master/6.00.1x/w5-apply_to_each.py;1
10;13af40cbffd29607178688e4f935be6af655d203;B/C/D/E/F/G/H/I/J/K/L/M/N/O/P/Q/R/S/T/U/V/W/X/Y/Z/0/1/2/3/4/5/6/7/8/9/;70;2;https://github.com/IronLanguages/ironpython3/blob/master/Tests/test_stdmodules.py;1
