adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000004457-23-000026	4457	U-HAUL HOLDING CO /NV/	7510	US	NV	RENO	89511	5555 KIETZKE LANE STE 100		7756886300	US	NV	RENO	89511	5555 KIETZKE LANE	SUITE 100	US	NV	880106815	AMERCO /NV/	19920703	1-LAF	0	0331	8-K	20230331			20230329	2023-03-29 16:05:00.0	0	0	uhal-20230323_htm.xml	1	
0000005272-23-000014	5272	AMERICAN INTERNATIONAL GROUP, INC.	6331	US	NY	NEW YORK	10020-1304	1271 AVE OF THE AMERICAS	FL 37	2127707000	US	NY	NEW YORK	10020-1304	1271 AVE OF THE AMERICAS	FL 37	US	DE	132592361	AMERICAN INTERNATIONAL GROUP INC	19920703	1-LAF	0		DEF 14A				20230329	2023-03-29 16:44:00.0	0	0	aig-20230329_htm.xml	1	
0000062709-23-000021	62709	MARSH & MCLENNAN COMPANIES, INC.	6411	US	NY	NEW YORK	10036	1166 AVENUE OF THE AMERICAS		2123455000	US	NY	NEW YORK	10036	1166 AVENUE OF THE AMERICAS		US	DE	362668272	MARSH & MCLENNAN COMPANIES INC	19920703	1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 16:04:00.0	0	0	mmc-20230329_htm.xml	1	
0000063908-23-000017	63908	MCDONALDS CORP	5812	US	IL	CHICAGO	60607	110 NORTH CARPENTER STREET		630 623 3000	US	IL	CHICAGO	60607	110 NORTH CARPENTER STREET		US	DE	362361282			1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 16:34:00.0	0	0	mcd-20230327_htm.xml	1	
0000065984-23-000027	65984	ENTERGY CORP /DE/	4911	US	LA	NEW ORLEANS	70113	639 LOYOLA AVE		504-576-4000	US	LA	NEW ORLEANS	70161	PO BOX 61000		US	DE	721229752	ENTERGY CORP /FL/	19940329	1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 12:12:00.0	0	0	etr-20230329_htm.xml	2	1348952
0000072162-23-000015	72162	NL INDUSTRIES INC	2810	US	TX	DALLAS	75240-2620	5430 LBJ FREEWAY	SUITE 1700	972-233-1700	US	TX	DALLAS	75240-2620	5430 LBJ FREEWAY	SUITE 1700	US	NJ	135267260	NATIONAL LEAD CO	19710520	2-ACC	0		DEF 14A				20230329	2023-03-29 16:17:00.0	0	0	nl-20230518xdef14a_htm.xml	1	
0000084748-23-000036	84748	ROGERS CORP	2821	US	AZ	CHANDLER	85224	2225 W CHANDLER BLVD		480-917-6000	US	AZ	CHANDLER	85224	2225 W CHANDLER BLVD		US	MA	060513860			1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 12:25:00.0	0	0	rog-20230324_htm.xml	1	
0000084748-23-000039	84748	ROGERS CORP	2821	US	AZ	CHANDLER	85224	2225 W CHANDLER BLVD		480-917-6000	US	AZ	CHANDLER	85224	2225 W CHANDLER BLVD		US	MA	060513860			1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 14:49:00.0	0	0	rog-20230327_htm.xml	1	
0000088941-23-000003	88941	SEMTECH CORP	3674	US	CA	CAMARILLO	93012-8790	200 FLYNN ROAD		8054982111	US	CA	CAMARILLO	93012-8790	200 FLYNN ROAD		US	DE	952119684			1-LAF	0	0131	8-K	20230331			20230329	2023-03-29 16:17:00.0	0	0	smtc-20230329_htm.xml	1	
0000109198-23-000004	109198	TJX COMPANIES INC /DE/	5651	US	MA	FRAMINGHAM	01701	770 COCHITUATE RD		508-390-1000	US	MA	FRAMINGHAM	01701	770 COCHITUATE ROAD		US	DE	042207613	ZAYRE CORP	19890625	1-LAF	1	0131	10-K	20230131	2022	FY	20230329	2023-03-29 11:39:00.0	0	1	tjx-20230128_htm.xml	1	
0000109563-23-000036	109563	APPLIED INDUSTRIAL TECHNOLOGIES INC	5080	US	OH	CLEVELAND	44115-5056	ONE APPLIED PLAZA		216-426-4753	US	OH	CLEVELAND	44115-5056	ONE APPLIED PLAZA		US	OH	340117420	BEARINGS INC /OH/	19920703	1-LAF	0	0630	8-K	20230331			20230329	2023-03-29 17:11:00.0	0	0	ait-20230328_htm.xml	1	
0000205402-23-000011	205402	GRAYBAR ELECTRIC CO INC	5063	US	MO	ST LOUIS	63105	34 N MERAMEC AVE		3145739200	US	MO	ST LOUIS	63177	P O BOX 7231		US	NY	130794380			4-NON	0	1231	8-K	20230331			20230329	2023-03-29 15:51:00.0	0	0	c402-20230329x8k_htm.xml	1	
0000705432-23-000060	705432	SOUTHSIDE BANCSHARES INC	6022	US	TX	TYLER	75701	1201 S BECKHAM		9035317111	US	TX	TYLER	75701	1201 S BECKHAM		US	TX	751848732	SOBANK INC	19920703	1-LAF	0		DEF 14A				20230329	2023-03-29 13:45:00.0	0	0	sbsi-20230329_htm.xml	1	
0000712515-23-000018	712515	ELECTRONIC ARTS INC.	7372	US	CA	REDWOOD CITY	94065	209 REDWOOD SHORES PARKWAY		650-628-1500	US	CA	REDWOOD CITY	94065	209 REDWOOD SHORES PARKWAY		US	DE	942838567	ELECTRONIC ARTS INC	19920703	1-LAF	0	0331	8-K	20230331			20230329	2023-03-29 16:08:00.0	0	0	ea-20230327_htm.xml	1	
0000712534-23-000082	712534	FIRST MERCHANTS CORP	6021	US	IN	MUNCIE	47308-0792	200 E JACKSON ST	PO BOX 792	7657471500	US	IN	MUNCIE	47305	200 EAST JACKSON STREET		US	IN	351544218			1-LAF	0		DEF 14A				20230329	2023-03-29 10:02:00.0	0	0	frme-20230328_htm.xml	1	
